site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
1,2019,8,0.1935483870967742,0.1935483870967742,a,16.73,25.9,8.4,23.48,10.28,5.35,0.06,82,83.7,100,52.3,100.41,100.41,100.41,0,6,6,6,0
1,2019,9,1,1,a,8.9,24.1,-1.7,13.55,4.76,4.31,0.05,91.3,92.4,100,55.8,267.04,264.81,243.45,0,30,29,23,0
1,2019,10,1,1,a,2.91,11.2,-7.8,5.03,0.7,3.68,0.04,98.5,96.6,100,72.8,98.83,75.61,59.38,-8.72,27,12,8,4
1,2019,11,1,1,a,-0.76,8.2,-12.6,1.03,-2.77,1.04,0.01,100,99.4,100,85.3,31.89,21.44,5.19,-54.58,15,5,1,15
1,2019,12,1,1,a,-0.81,3.6,-13.4,0.68,-2.31,1.45,0.01,99.7,99.1,100,88.9,17.22,0,0,-42.31,20,0,0,11
1,2020,1,1,1,a,0.15,6.5,-7.6,2.03,-1.89,4.56,0.05,95.2,93.6,99.7,67.5,31.57,9.82,0,-26.88,16,3,0,15
1,2020,2,1,1,a,-1.95,5.4,-14.5,0.91,-4.73,6.14,0.07,94,91.4,99.6,44,20.34,6.69,0,-76.96,14,2,0,15
1,2020,3,1,1,a,-0.26,11,-12.3,3.46,-4.41,12.97,0.16,85.9,81.2,98.5,31.9,32.47,19.74,5.28,-40.57,14,5,1,17
1,2020,4,1,1,a,2.39,16,-6.6,7.8,-2.81,9.84,0.14,70.6,72.1,96,24.6,73.23,53.82,29.53,-1.56,27,11,5,3
1,2020,5,1,1,a,7.67,22.9,-5.1,14.15,0.08,10.7,0.16,64.1,65.2,96.2,24.2,237.69,231.62,212.07,0,31,28,23,0
1,2020,6,1,1,a,17.68,32,3.3,24.44,9.95,11.23,0.18,59.5,63.6,97.1,27.4,530.53,530.53,530.53,0,30,30,30,0
1,2020,7,1,1,a,14.54,26.7,4.2,20.08,8.84,7.24,0.09,81,80.2,98.8,40.8,450.74,450.74,450.74,0,31,31,31,0
1,2020,8,1,1,a,14.54,27.6,3.1,20.74,8.03,7.2,0.09,79.8,80.1,99.9,29.9,450.64,450.64,450.64,0,31,31,31,0
1,2020,9,1,1,a,10.95,20.3,2,15.68,6.54,4.79,0.05,88,88.6,100,47.5,328.62,328.62,328.62,0,30,30,30,0
1,2020,10,1,1,a,6,16.4,-4.1,8.93,2.74,3.8,0.04,98.3,97.1,100,67.4,187.05,181.99,161.63,-1.03,28,23,18,3
1,2020,11,1,1,a,2.79,11.7,-6.2,4.84,0.79,3.8,0.04,97.1,96.2,100,76.2,91.42,72.55,59.81,-7.72,22,12,9,8
1,2020,12,1,1,a,-0.62,5.1,-7.2,0.67,-1.9,1.55,0.02,98.7,98.5,100,88,18.14,10.46,0,-37.31,13,3,0,18
1,2021,1,1,1,a,-6.34,1.8,-27.3,-4.21,-8.5,1.97,0.02,96.8,96.5,100,88.3,1.72,0,0,-198.39,4,0,0,27
1,2021,2,1,1,a,-9.15,7.5,-24.1,-5.5,-13.01,3.17,0.03,93.5,93.3,100,63,7.65,0,0,-263.94,4,0,0,24
1,2021,3,1,1,a,-2.16,11.1,-26.3,2.74,-6.66,7.44,0.09,84.2,83.4,98.9,32.7,34.08,18.75,0,-101.08,15,5,0,16
1,2021,4,1,1,a,2.87,16.9,-5.6,8.62,-1.96,10.46,0.14,75.2,76.8,97.5,26.3,86.3,53.09,40.32,-0.22,29,10,7,1
1,2021,5,0.9032258064516129,0.9032258064516129,a,8.87,27.5,-5.3,14.43,3.21,14.1,0.18,76,77,100,26.9,248.33,239.08,226.64,0,28,24,21,0
2,2019,8,0.22580645161290322,0.22580645161290322,a,16.33,23.8,6.4,21.14,11.31,6.37,0.08,78.8,80.3,94.9,52.2,114.29,114.29,114.29,0,7,7,7,0
2,2019,9,1,1,a,8.76,21.5,0,11.91,5.82,3.76,0.04,91.4,92,98.8,60.9,262.9,260.74,239.11,0,30,29,23,0
2,2019,10,1,1,a,2.87,10.8,-5.5,4.55,1.2,3.61,0.04,97.1,95.8,100,74.1,95.38,73.12,57.27,-6.32,27,12,8,4
2,2019,11,1,1,a,-0.79,7.3,-11.3,0.72,-2.36,2.32,0.02,99.6,98.3,100,90.5,25.83,16.5,0,-49.43,15,4,0,15
2,2019,12,1,1,a,-0.88,2.9,-11.7,0.36,-2.16,1.68,0.02,99.7,98.8,100,92.6,12.53,0,0,-39.67,21,0,0,10
2,2020,1,1,1,a,0.16,5.7,-6,1.6,-1.39,3.52,0.04,94.6,93.8,97.9,76.8,28.31,3.12,0,-23.39,16,1,0,15
2,2020,2,1,1,a,-1.84,4.9,-13.1,0.44,-3.85,5.17,0.06,94.2,92.2,97.3,61.5,16.69,0,0,-70.18,14,0,0,15
2,2020,3,1,1,a,-0.15,9.1,-9.2,2.53,-2.98,13.47,0.16,87.1,81.9,97.1,34.2,28.98,12.99,0,-33.64,14,3,0,17
2,2020,4,1,1,a,2.06,13.5,-5.1,5.86,-1.55,10.29,0.14,74.2,74.5,94.6,34.2,64.89,44.77,28.29,-2.97,25,9,5,5
2,2020,5,1,1,a,7.34,21,-3.1,12.29,1.86,11.29,0.17,65,66.4,93.3,29,227.43,221.67,194.32,0,31,28,21,0
