site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
1,2020,366,1,366,118,56,3,2019-10-29,2020-03-17,77,20,206,324,53,22,3,2019-11-23,2020-02-18,49,15,15,1,2019-12-12,2019-12-26,360
1,2021,365,1,365,136,114,3,2020-11-27,2021-04-16,106,0,100,146,123,114,2,2020-11-27,2021-04-16,106,87,87,1,2021-01-17,2021-04-13,103
2,2020,366,1,366,37,25,2,2019-12-10,2020-02-15,46,12,244,292,10,10,1,2019-12-12,2019-12-21,355,0,0,0,NA,NA,0
2,2021,365,1,365,109,97,2,2020-12-08,2021-03-30,89,6,110,134,62,38,2,2021-01-23,2021-03-30,89,0,0,0,NA,NA,0
3,2020,366,1,366,145,135,2,2019-11-04,2020-04-05,96,32,228,446,123,95,2,2019-11-23,2020-03-28,88,13,13,1,2019-12-13,2019-12-25,359
3,2021,365,1,365,128,128,1,2020-11-27,2021-04-03,93,80,82,228,117,117,1,2020-12-08,2021-04-03,93,63,38,2,2021-01-23,2021-03-29,88
4,2020,366,1,366,65,26,3,2019-11-23,2020-02-16,47,36,330,539,45,18,3,2019-11-25,2020-02-12,43,13,13,1,2019-12-13,2019-12-25,359
4,2021,365,1,365,121,109,2,2020-12-08,2021-04-11,101,0,140,259,105,105,1,2020-12-28,2021-04-11,101,86,75,2,2020-12-28,2021-04-02,92
5,2020,366,1,366,74,26,4,2019-11-04,2020-03-12,72,10,184,330,34,14,3,2019-12-12,2020-02-16,47,13,13,1,2019-12-12,2019-12-24,358
5,2021,365,1,365,108,96,2,2020-12-08,2021-03-29,88,16,140,184,72,72,1,2021-01-17,2021-03-29,88,50,28,3,2021-01-20,2021-03-17,76
6,2020,366,1,366,106,31,5,2019-11-04,2020-03-17,77,4,202,350,46,22,3,2019-12-12,2020-03-11,71,9,9,1,2019-12-13,2019-12-21,355
6,2021,365,1,365,127,115,2,2020-12-08,2021-04-17,107,0,94,116,97,97,1,2021-01-11,2021-04-17,107,80,55,2,2021-01-22,2021-04-16,106
7,2020,366,1,366,72,25,4,2019-11-04,2020-03-08,68,10,242,448,14,14,1,2019-12-12,2019-12-25,359,0,0,0,NA,NA,0
7,2021,365,1,365,104,93,2,2020-12-08,2021-03-26,85,0,122,174,62,31,3,2021-01-17,2021-03-25,84,0,0,0,NA,NA,0
8,2020,366,1,366,73,25,4,2019-11-04,2020-03-08,68,2,194,282,14,14,1,2019-12-12,2019-12-25,359,0,0,0,NA,NA,0
9,2020,366,1,366,90,27,5,2019-11-04,2020-03-09,69,22,314,453,39,21,2,2019-12-12,2020-02-17,48,13,13,1,2019-12-13,2019-12-25,359
10,2020,366,1,366,152,138,2,2019-11-04,2020-04-10,101,4,32,297,149,94,3,2019-11-04,2020-04-10,101,89,28,5,2019-12-07,2020-03-28,88
10,2021,365,1,365,117,117,1,2020-12-08,2021-04-03,93,50,20,231,117,117,1,2020-12-08,2021-04-03,93,78,78,1,2021-01-16,2021-04-03,93
11,2020,366,1,366,94,25,5,2019-11-04,2020-03-15,75,0,246,336,33,19,2,2019-12-12,2020-02-15,46,0,0,0,NA,NA,0
11,2021,365,1,365,109,98,2,2020-12-08,2021-03-31,90,0,108,168,80,80,1,2021-01-11,2021-03-31,90,54,19,4,2021-01-23,2021-03-30,89
13,2020,366,1,366,169,149,2,2019-10-29,2020-04-19,110,0,132,178,155,96,3,2019-11-09,2020-04-19,110,61,26,4,2019-12-12,2020-03-12,72
13,2021,365,1,365,147,147,1,2020-12-08,2021-05-03,123,0,36,122,144,144,1,2020-12-11,2021-05-03,123,128,128,1,2020-12-24,2021-04-30,120
14,2020,366,1,366,85,30,4,2019-11-04,2020-03-15,75,4,268,280,14,14,1,2019-12-12,2019-12-25,359,9,9,1,2019-12-13,2019-12-21,355
14,2021,365,1,365,124,112,2,2020-12-08,2021-04-14,104,16,94,116,87,87,1,2021-01-18,2021-04-14,104,17,17,1,2021-03-21,2021-04-06,96
15,2020,366,1,366,94,25,5,2019-11-04,2020-03-15,75,72,174,298,39,19,3,2019-12-12,2020-03-11,71,0,0,0,NA,NA,0
