site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2019,8,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.1935483870967742,12.69,13.7,11.64,13.4,12.05,14.56,19.76,9.76,18.46,10.98,15.31,26,7.5,22.96,9.12,0.35,0.01,25.6,25.6,26.5,24.9,76.17,76.17,76.17,0,6,6,6,0,87.35,87.35,87.35,0,6,6,6,0,91.88,91.88,91.88,0,6,6,6,0
1,2019,9,1,1,1,1,9.34,14.14,5.32,9.85,8.94,8.74,18.2,1.14,11.47,6.15,8.14,23.62,-1.69,13.19,3.66,1.1,0.04,29.2,29,43,25.4,280.3,280.3,280.3,0,30,30,30,0,262.16,262.16,233.24,0,30,30,23,0,244.27,229.6,220.52,0,30,24,22,0
1,2019,10,1,1,1,1,5.34,8.64,2.76,5.69,5,3.59,9.26,-2.11,4.82,2.28,2.41,11.75,-7.5,4.87,-0.07,0.84,0.03,29.7,29.8,35.2,28.4,165.55,162.69,118.99,0,31,30,20,0,112.54,85.17,47.65,-1.21,30,16,7,1,84.56,63.73,43.12,-9.73,26,11,6,5
1,2019,11,1,1,1,0.9666666666666667,1.85,3.14,0.51,1.96,1.71,-0.13,3.76,-5.55,0.35,-0.76,-1.18,5.5,-12.44,0.19,-2.88,1.88,0.06,29.5,29.3,36.8,24.4,55.44,3.09,0,0,30,1,0,0,12.54,3.19,0,-16.4,13,1,0,17,16.96,7.95,0,-52.37,7,2,0,23
1,2019,12,1,1,1,0.7741935483870968,1.4,1.82,0.76,1.45,1.31,-0.06,0.45,-2.11,0.11,-0.28,-0.82,0.88,-5.56,-0.4,-1.38,4.79,0.21,21.1,23.1,32.4,18.9,43.36,0,0,0,31,0,0,0,4.69,0,0,-6.62,18,0,0,13,0.03,0,0,-25.5,1,0,0,30
1,2020,1,1,1,1,0.16129032258064516,0.73,1.57,0.2,0.83,0.65,-0.45,2.57,-3.49,0.19,-1.15,-1.08,4.88,-7.75,0.48,-2.93,0.07,0,21.9,21.9,22.6,21.4,22.78,0,0,0,31,0,0,0,4.95,0,0,-18.97,9,0,0,22,10.39,0,0,-43.73,11,0,0,20
1,2020,2,1,1,1,0,0.44,0.76,-0.99,0.51,0.37,-1.13,0.76,-8.61,-0.37,-1.81,-2.27,2.75,-15.38,-0.32,-3.95,NA,NA,NA,NA,NA,NA,14.58,0,0,-1.69,25,0,0,4,0.45,0,0,-33.17,2,0,0,27,2.32,0,0,-68.11,4,0,0,25
1,2020,3,1,1,1,0,-0.28,-0.24,-0.61,-0.26,-0.3,-0.78,4.64,-6.18,0.63,-2.24,-1.32,11,-12.12,2.53,-5.15,NA,NA,NA,NA,NA,NA,0,0,0,-8.56,0,0,0,31,3.81,0,0,-27.99,7,0,0,24,14.41,3.13,0,-55.38,10,1,0,21
1,2020,4,1,1,1,0,-0.14,0.76,-0.36,-0.05,-0.19,0.61,9.26,-3.61,3.92,-1.59,1.26,18.56,-7.94,9.05,-4.2,NA,NA,NA,NA,NA,NA,0.72,0,0,-4.98,6,0,0,24,23.39,0,0,-5.03,19,0,0,11,46.65,31.14,10.18,-8.73,22,8,2,8
1,2020,5,1,1,1,0.8709677419354839,3.78,9.01,-0.05,4.82,2.7,5.91,19.51,-2.68,11.96,0.39,6.96,27,-6.38,17.5,-1.94,0.93,0.05,18.9,18.8,22.8,16.6,117.12,90.31,61.54,0,31,17,9,0,183.21,170.54,128.94,0,31,25,15,0,215.82,202.73,181.09,0,31,25,20,0
1,2020,6,1,1,1,1,11.08,16.39,6.64,12.26,9.86,15.19,27.64,3.89,21.26,9.52,16.69,34.5,1.88,26.8,8.34,1.92,0.12,16.3,16,24.9,11.1,332.29,332.29,332.29,0,30,30,30,0,455.65,455.65,455.65,0,30,30,30,0,500.79,500.79,500.79,0,30,30,30,0
1,2020,7,1,1,1,1,11.45,14.14,9.51,12.17,10.7,13.33,22.39,6.39,17.19,9.56,13.83,30.25,3.56,21.3,7.91,1.82,0.09,19.4,19.3,27.5,15.3,354.93,354.93,354.93,0,31,31,31,0,413.34,413.34,413.34,0,31,31,31,0,428.69,428.69,428.69,0,31,31,31,0
1,2020,8,1,1,1,1,11.61,14.76,8.32,12.4,10.75,12.99,21.82,4.89,17.14,8.78,13.41,27.38,2.56,20.75,6.99,2.26,0.13,17.2,17.2,22.3,12.8,359.88,359.88,359.88,0,31,31,31,0,402.59,402.59,402.59,0,31,31,31,0,415.63,415.63,415.63,0,31,31,31,0
1,2020,9,1,1,1,1,9.46,11.89,6.89,10.01,8.91,9.89,16.51,3.14,12.85,7.01,9.8,19.12,0.75,14.77,5.28,1.94,0.1,18.5,18.9,24,15.8,283.72,283.72,283.72,0,30,30,30,0,296.58,296.58,296.58,0,30,30,30,0,294.06,294.06,294.06,0,30,30,30,0
1,2020,10,1,1,1,1,6.64,10.07,2.39,7.07,6.16,5.76,13.39,-1.11,7.6,3.57,5.14,14.94,-4.5,8.36,1.54,2.54,0.11,22.7,22.1,30.1,16.6,205.83,205.83,168.64,0,31,31,22,0,178.51,168.43,155.88,0,31,23,20,0,163.46,158.87,143.71,-4.18,26,22,18,5
1,2020,11,1,1,1,1,4.21,7.08,2.39,4.48,3.95,2.6,9.32,-1.61,3.66,1.57,1.65,11,-6.38,3.69,-0.36,1.55,0.07,23.2,23.6,28.5,21.8,126.24,109.77,53.37,0,30,24,9,0,79.03,61.05,36.07,-1.11,28,12,6,2,67.09,55.24,30.15,-17.53,19,11,5,11
1,2020,12,1,1,1,1,1.63,2.58,1.14,1.69,1.59,-0.25,1.45,-3.24,0.07,-0.62,-1.32,3.12,-8.38,-0.47,-2.39,1.53,0.07,22.8,23.2,27.1,21.1,50.63,0,0,0,31,0,0,0,6.54,0,0,-14.15,14,0,0,17,5.41,0,0,-46.38,4,0,0,27
1,2021,1,1,1,1,1,1.21,1.7,1.01,1.24,1.19,-0.32,0.39,-1.86,-0.22,-0.44,-1.36,-0.25,-4.75,-1.1,-1.63,0.53,0.02,21.4,21.4,22.3,20.6,37.55,0,0,0,31,0,0,0,1.81,0,0,-11.77,11,0,0,20,0,0,0,-42.01,0,0,0,31
1,2021,2,1,1,1,1,1.24,1.39,1.14,1.25,1.23,-0.05,0.26,-0.49,0,-0.11,-1.25,-0.44,-2.31,-1.13,-1.4,0.16,0.01,22.4,22.4,22.9,21.8,34.66,0,0,0,28,0,0,0,0.95,0,0,-2.39,10,0,0,18,0,0,0,-35.13,0,0,0,28
1,2021,3,1,1,1,0.9032258064516129,1.12,1.2,0.76,1.13,1.1,0.17,0.26,-0.05,0.2,0.13,-0.62,-0.25,-1.38,-0.54,-0.71,1.02,0.04,24,24.3,28.2,22.9,34.69,0,0,0,31,0,0,0,5.21,0,0,0,31,0,0,0,0,0,0,-19.14,0,0,0,31
1,2021,4,1,1,1,0.36666666666666664,1.26,2.83,0.7,1.42,1.13,1,8.32,-1.36,2.41,0.03,0.87,14.12,-5.56,4.4,-1.54,0.57,0.02,27.4,27.4,31,26.2,37.91,0,0,0,30,0,0,0,30.06,4.02,0,0,30,1,0,0,30.14,16.06,0,-4,14,4,0,16
1,2021,5,1,1,1,1,5.56,8.45,1.39,6.13,5.03,7.45,18.64,-1.68,11.15,3.72,8.43,29.38,-6.31,16.73,1.45,1.33,0.05,26,26.4,32.3,24.3,172.43,151.31,147.59,0,31,22,21,0,230.87,223.29,205.85,0,31,27,22,0,261.31,253.94,233.01,0,31,27,22,0
1,2021,6,1,1,1,1,11.2,16.39,6.7,11.94,10.55,14.9,24.76,4.95,18.7,10.83,16.73,34,2.31,25.31,9.37,2.52,0.11,23.5,22.7,29.6,17.4,335.94,335.94,335.94,0,30,30,30,0,447.1,447.1,447.1,0,30,30,30,0,501.89,501.89,501.89,0,30,30,30,0
1,2021,7,1,1,1,1,13.09,15.57,10.51,13.71,12.44,15.98,23.26,7.14,19.39,12.02,17.26,30.25,4.44,24.72,10.46,1.13,0.07,16.9,17,22.2,14.7,405.78,405.78,405.78,0,31,31,31,0,495.37,495.37,495.37,0,31,31,31,0,535.15,535.15,535.15,0,31,31,31,0
1,2021,8,1,1,1,1,11.85,13.7,9.76,12.25,11.49,12.92,18.01,7.95,15.36,10.61,12.95,22.62,5.12,17.77,8.96,2.31,0.11,21.9,21.6,29.1,17.4,367.43,367.43,367.43,0,31,31,31,0,400.46,400.46,400.46,0,31,31,31,0,401.57,401.57,401.57,0,31,31,31,0
1,2021,9,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,8.85,10.95,6.01,9.19,8.51,8.1,14.64,1.14,10.06,5.8,7.29,17.56,-2.12,11.08,3.37,1.05,0.05,22.4,22.3,25.5,20.5,194.65,194.65,194.65,0,22,22,22,0,178.13,178.13,169.65,0,22,22,20,0,160.46,157.74,150.7,0,22,21,19,0
2,2019,8,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,13.68,16.36,9.55,15.17,12.13,15.59,22.75,6.63,20,11.19,15.89,24.75,5.62,21.53,10.53,0.24,0.14,1.8,1.7,2.2,1.1,95.79,95.79,95.79,0,7,7,7,0,109.14,109.14,109.14,0,7,7,7,0,111.22,111.22,111.22,0,7,7,7,0
2,2019,9,1,1,1,1,9.36,15.36,4.11,10.28,8.44,8.74,21.13,-0.12,11.93,5.94,8.47,22.5,-1.44,12.32,5.11,1.93,0.4,5.1,4.8,20.3,0.9,280.87,280.87,280.87,0,30,30,30,0,262.18,259.63,241.7,0,30,29,24,0,254.14,243.73,232.47,0,30,26,23,0
